date	close
1-Jan-32	 154.64
1-Feb-32	  79.34
1-Mar-32	 182.61
1-Apr-32	  87.37
1-May-32	 121.97
1-Jun-32	 128.84
1-Jul-32	 168.18
1-Aug-32	 542.79
1-Sep-32	  83.89
1-Oct-32	 510.97
1-Nov-32	 979.70
1-Dec-32	 211.23
1-Jan-33	 158.19
1-Feb-33	 196.90
1-Mar-33	  96.74
1-Apr-33	 219.99
1-May-33	 324.75
1-Jun-33	 713.42
1-Jul-33	 723.23
1-Aug-33	 139.10
1-Sep-33	 129.84
1-Oct-33	 139.54
1-Nov-33	 165.85
1-Dec-33	 187.75
1-Jan-34	 326.20
1-Feb-34	 124.43
1-Mar-34	 131.75
1-Apr-34	 183.08
1-May-34	 101.35
1-Jun-34	 265.15
1-Jul-34	 448.02
1-Aug-34	 179.03
1-Sep-34	 218.04
1-Oct-34	 514.66
1-Nov-34	 256.73
1-Dec-34	  65.63
1-Jan-35	 304.40
1-Feb-35	  99.69
1-Mar-35	  51.96
1-Apr-35	 161.41
1-May-35	 244.43
1-Jun-35	 219.58
1-Jul-35	 441.94
1-Aug-35	 367.81
1-Sep-35	 251.13
1-Oct-35	 177.18
1-Nov-35	 129.81
1-Dec-35	 250.07
1-Jan-36	 141.48
1-Feb-36	  21.38
1-Mar-36	 240.91
1-Apr-36	 304.26
1-May-36	 147.87
1-Jun-36	 118.50
1-Jul-36	 121.17
1-Aug-36	 150.02
1-Sep-36	  90.82
1-Oct-36	 146.69
1-Nov-36	 172.62
1-Dec-36	 116.52
1-Jan-37	 382.62
1-Feb-37	  54.78
1-Mar-37	 358.42
1-Apr-37	 105.97
1-May-37	 100.69
1-Jun-37	 123.05
1-Jul-37	 190.81
1-Aug-37	 598.72
1-Sep-37	 482.94
1-Oct-37	 309.90
1-Nov-37	 791.49
1-Dec-37	 333.58
1-Jan-38	 280.37
1-Feb-38	 127.03
1-Mar-38	 233.62
1-Apr-38	 396.87
1-May-38	 138.26
1-Jun-38	 206.47
1-Jul-38	 121.78
1-Aug-38	 302.83
1-Sep-38	 342.20
1-Oct-38	 389.23
1-Nov-38	1047.18
1-Dec-38	 333.36
1-Jan-39	 484.24
1-Feb-39	 114.94
1-Mar-39	 161.98
1-Apr-39	 340.38
1-May-39	 316.46
1-Jun-39	  90.95
1-Jul-39	 476.23
1-Aug-39	1466.38
1-Sep-39	 899.51
1-Oct-39	 228.05
1-Nov-39	 405.33
1-Dec-39	 350.95
1-Jan-40	 328.99
1-Feb-40	  96.19
1-Mar-40	 190.97
1-Apr-40	 223.54
1-May-40	 199.25
1-Jun-40	 214.04
1-Jul-40	 585.82
1-Aug-40	 226.48
1-Sep-40	 457.02
1-Oct-40	 188.92
1-Nov-40	 158.86
1-Dec-40	 177.37
